# Date                |     Time (NJ)   |    Team 1                                 |    Team 2                                  |    Venue  |    Result          |   Winning Team               |     Winning User(s)                    |
Sat Oct 24, 2020      |     06:00 AM    |    Kolkata Knight Riders   KKR      |    Delhi Capitals   DC                  |    o      |    NotPlayedYet    |                              |
Sat Oct 24, 2020      |     10:00 AM    |    Kings XI Punjab   KXIP            |    Sunrisers Hyderabad   SRH                   |    o      |    NotPlayedYet    |                              |
Sun Oct 25, 2020      |     06:00 AM    |    Royal Challengers Bangalore   RCB              |    Chennai Super Kings   CSK                     |    o      |    NotPlayedYet    |                              |
Sun Oct 25, 2020      |     10:00 AM    |    Rajasthan Royals   RR                  |    Mumbai Indians   MI               |    o      |    NotPlayedYet    |                              |
Mon Oct 26, 2020      |     10:00 AM    |    Kolkata Knight Riders   KKR                    |    Kings XI Punjab   KXIP       |    o      |    NotPlayedYet    |                              |
Tue Oct 27, 2020      |     10:00 AM    |    Sunrisers Hyderabad   SRH            |    Delhi Capitals   DC                     |    o      |    NotPlayedYet    |                              |
Wed Oct 28, 2020      |     10:00 AM    |    Mumbai Indians   MI              |    Royal Challengers Bangalore   RCB                  |    o      |    NotPlayedYet    |                              |
Thu Oct 29, 2020      |     10:00 AM    |    Chennai Super Kings   CSK      |    Kolkata Knight Riders   KKR                   |    o      |    NotPlayedYet    |                              |
Fri Oct 30, 2020      |     10:00 AM    |    Kings XI Punjab   KXIP              |    Rajasthan Royals   RR                     |    o      |    NotPlayedYet    |                              |
Sat Oct 31, 2020      |     06:00 AM    |    Delhi Capitals   DC                    |    Mumbai Indians   MI               |    o      |    NotPlayedYet    |                              |
Sat Oct 31, 2020      |     10:00 AM    |    Kings XI Punjab   KXIP                 |    Royal Challengers Bangalore   RCB             |    o      |    NotPlayedYet    |                              |
Sun Nov 01, 2020      |     05:00 AM    |    Chennai Super Kings   CSK                    |    Kings XI Punjab   KXIP                   |    o      |    NotPlayedYet    |                              |
Sun Nov 01, 2020      |     09:00 AM    |    Kolkata Knight Riders   KKR      |    Rajasthan Royals   RR               |    o      |    NotPlayedYet    |                              |
Mon Nov 02, 2020      |     09:00 AM    |    Delhi Capitals   DC                 |    Royal Challengers Bangalore   RCB               |    o      |    NotPlayedYet    |                              |
Tue Nov 03, 2020      |     09:00 AM    |    Sunrisers Hyderabad   SRH                    |    Mumbai Indians   MI             |    o      |    NotPlayedYet    |                              |
xxx Nov xx, 2020      |     09:00 AM    |    Mumbai Indians   MI                    |    Chennai Super Kings   CSK               |    o      |    NotPlayedYet    |                              |
xxx Nov xx, 2020      |     09:00 AM    |    Delhi Capitals   DC                    |    Sunrisers Hyderabad   SRH               |    o      |    NotPlayedYet    |                              |
xxx Nov xx, 2020      |     09:00 AM    |    Chennai Super Kings   CSK              |    Delhi Capitals   DC                     |    o      |    NotPlayedYet    |                              |
xxx Nov xx, 2020      |     09:00 AM    |    Mumbai Indians   MI                    |    Chennai Super Kings   CSK               |    o      |    NotPlayedYet    |                              |
